Area,Course Name,Term,Programme,Professor,Rating,Credits,Course Description
ACTG,FINANCIAL ACCOUNTING FOR MANAGERS,F2,"MBA, MMgt",Linda Thorne,4,3,"This course examines the assumptions and decision usefulness of financial statements that are prepared for creditors and shareholders. Emphasis is placed on interpretation of financial statements, using examples from several companies. Issues including sustainability and ethics are incorporated in class discussions and cases."
ACTG,FINANCIAL DECISIONS FOR MANAGERS,F2,"MMgt, MHIA",Supinder Babra,3,3,"This course will provide students with an understanding of the financial implications of managers' decision making and how financial measures can be used to monitor and control business operations. Concepts will include capital budgeting, financial statements, break-even analysis, non-routine decision making, pricing decisions, profit and loss calculation, ROI, and Operating Budget and budgeted financial statements."
ACTG,MANAGEMENT ACCOUNTING,F2,"MBA,MBAN",Sandy Qu,3,1.5,"This course provides an introduction to management accounting techniques that are useful in management decision making situations such as cost management, pricing special orders, determining service levels and performance appraisal. The non-applicability of external reporting figures for most management decisions is reviewed. In arriving at managerial decisions, all stakeholder interests are considered, including socially responsible decision making around key issues. Prerequisite: SB/ACTG 5100 3.00"
ACTG,INTERMEDIATE FINANCIAL ACCOUNTING I,F2,MBA,Richa Khanna,5,3,Examines the accounting concepts and principles that relate to the asset accounts. Attention is given to alternative asset measurement bases and related revenue recognition and income determination bases. Prerequisite: SB/ACTG 5100 3.00; SB/ACTG 5101 3.00 (previously offered as SB/MACC 5101 3.00) for students pursuing the Schulich Diploma in Intermediate Accounting (DIAc).
ACTG,INTERMEDIATE FINANCIAL ACCOUNTING FOR FINANCE MAJORS,F2,MFIN,John Bogdan,5,3,This course is meant specifically for non-accountants who want a broader understanding of accounting issues and how they impact financial statements. This course covers both sides of the balance sheet focusing on understanding the impact of the issues on the financial statements instead of the detailed technical application. This course is not recognized as a course by the accounting designations. Prerequisite: for MBA students SB/ACTG 5100 3.00 or equivalent. Course credit exclusions: SB/ACTG 6120 3.00 and SB/ACTG 6140 3.00 (either SB/ACTG 6130 3.00 or SB/ACTG 6120 3.00 and SB/ACTG 6140 3.00).
ACTG,INTERMEDIATE FINANCIAL ACCOUNTING II,F2,MACC,Richa Khanna,4,3,"This is an extension of SB/ACTG 6120 3.00 with emphasis on the liability of equity accounts. Major topics include: tax allocation, pensions, leases, capital transactions and financial statement analysis. Prerequisite: SB/ACTG 6120 3.00."
ACTG,MULTI-COMPETENCY CASE ANALYSIS FOR ACCOUNTANTS,F2,MACC,Alex Garber,4,3,"This course will build on the case analysis fundamentals learned and applied in the previous terms courses. Focusing on financial accounting, the students will work on integrating their analysis with other competency areas including tax, assurance, management accounting, finance and corporate governance. In addition to the specific competency areas, case analysis considers the impact of the development, implementation and use of information systems for the management and processing of data in business settings. Prerequisite: SB/ACTG 6120 3.00 Corequisite: SB/ACTG 6140 3.00 NOTE: Open only to MACC students and MBA students pursuing the CPA designation."
ACTG,FINANCIAL REPORTING AND ANALYSIS,F2,MACC,Supinder Babra,3,3,"Examines why stock prices react when firms announce their earnings, and why certain trends in industry earnings affect stock prices of many firms in that industry. Under highly stylised Generally Accepted Accounting Principles (GAAP), abnormal accounting earnings of a firm can be discounted to derive an estimate of the share price. This course therefore offers a direct link between accounting policy choices, abnormal earnings (based on adjusted reported earnings) and stock price valuation. Prerequisite: SB/ACTG 5100 3.00. Prerequisite: SB/ACTG 5101 3.00 (previously offered as SB/MACC 5101 3.00) for students pursuing the Schulich Diploma in Intermediate Accounting (DIAC). Course Credit Exclusion: SB/FINE 6600 3.00 (either SB/ACTG 6250 3.00 or SB/FINE 6600 3.00, but not both, may be taken for credit)."
ACTG,ADVANCED MANAGEMENT ACCOUNTING,F2,MACC,Joelle Pokrajac,3,3,"This course focuses on managerial planning, performance, and control systems in organizations that direct the behaviour of corporate officers and managers, in order to achieve a specific goal. Different tools and techniques are reviewed including methods of incentivizing employee productivity, compliance, and overall performance assessment. The course emphasizes decision-making through the analysis of case studies and discussions. Prerequisite: SB/ACTG 5211 3.00 (previously offered as SB/MACC 5211 3.00)"
ACTG,AUDITING STANDARDS & APPLICATIONS,F2,MACC,Alla Volodina,4,3,This course focuses on the standards and applications underlying the latest functions and responsibilities of external and internal auditors. The theory of audit evidence and certain basic techniques are used to provide an understanding of auditing methodology. The auditor's responsibility beyond the financial audit and current developments in auditing are also examined. Students may be expected to complete a research paper or project. Prerequisite: SB/ACTG 5100 3.00. Prerequisite: SB/ACTG 5101 3.00 (previously offered as SB/MACC 5101 3.00) for students pursuing the Schulich Diploma in Intermediate Accounting (DIAC).
ARTM,MEDIA MODELS FROM NETWORK TO NETFLIX,F2,MBA,Lisa de Wilde,4,3,"This course examines innovative business models adapting to digital disruption and reshaping the global media landscape. Topics include content financing, branding, revenue strategies, and evolving consumer demands for interactive content. Drawing on Canadian and global markets, it analyzes streaming's challenge to traditional media, alongside regulatory and technological impacts, notably Artificial Intelligence. Students gain insights from industry experts. Cross-listed with GS/CMCT 6340 3.00"
ARTM,THE BUSINESS OF CREATIVITY IN THE CULTURAL SECTOR,F2,MBA,Steve Ord,3,3,"Negotiation and management of creative rights processes and people are core to the strategic competence of arts and media organizations and their relationship with audiences. Technological developments are changing the way that these organizations approach their business. This course examines this complex evolving business through such topics as: perspectives on creativity; power, conflict and politics relating to managing unions, free-lance talent and celebrities; decision-making for market-risk; financing models, and the impact of the competitive and regulatory environment on management in the cultural sector. This course will be particularly valuable for those interested in the cultural industries including film, music, publishing, broadcasting and the performing arts. Recommended prerequisite: SB/ARTM 6301 3.00."
ECON,THE ECONOMIC ENVIRONMENT OF BUSINESS,F2,MBA,Fred Lazar,3,3,"This course provides managers with an overview of the economic environment within which business must operate, and an understanding of some of the analytical tools which economists use to solve business, economic, environmental and social problems. Key concepts and ideas from microeconomics, macroeconomics, environmental and international economics are introduced. Topics relevant to real-world issues and problems are discussed."
ECON,DIGITAL ECONOMICS,F2,MBAT,Irene Henriques,3,3,"The digital economy, broadly defined as an economy based on digital goods and services, is built on the foundations of Information and Communication Technology (ICT). The private and public sectors have embraced the digital economy as way to increase benefits, efficiency, and competitive advantage. This course introduces the basic micro and macro economic concepts underlying the digital economy."
